title,author,source,description,content,pub_date,url,photo_url,combined_text,tokens,lems
Messi scores hat-trick as Inter Miami enter Club World Cup 2025,Al Jazeera,Al Jazeera English,Inter Miami beat New England 6-2 to break the MLS regular season points record and seal a berth at the Club World Cup.,On-fire Lionel Messi scored his second hat-trick of the week and Luis Suarez scored twice as Inter Miami beat the New England Revolution 6-2 to smash Major League Soccers regular season points record… [+3855 chars],2024-10-20,https://www.aljazeera.com/sports/2024/10/20/messi-scores-hat-trick-as-inter-miami-enter-club-world-cup-2025,https://www.aljazeera.com/wp-content/uploads/2024/10/AFP__20241020__36KG94P__v1__HighRes__FootballMajorLeagueSoccerMlsRegularSeasonInterM-1729404794.jpg?resize=1920%2C1440,messi scores hat trick as inter miami enter club world cup  on fire lionel messi scored his second hat trick of the week and luis suarez scored twice as inter miami beat the new england revolution   to smash major league soccers regular season points record  chars,"['messi', 'scores', 'hat', 'trick', 'inter', 'miami', 'enter', 'club', 'world', 'cup', 'fire', 'lionel', 'messi', 'scored', 'second', 'hat', 'trick', 'week', 'luis', 'suarez', 'scored', 'twice', 'inter', 'miami', 'beat', 'new', 'england', 'revolution', 'smash', 'major', 'league', 'soccers', 'regular', 'season', 'points', 'record', 'chars']",messi score hat trick inter miami enter club world cup fire lionel messi scored second hat trick week luis suarez scored twice inter miami beat new england revolution smash major league soccer regular season point record char
Starving since the day he was born: How famine stalks Gaza’s children,Mark Scialla,Al Jazeera English,"Bereaved parents, doctors, aid workers and former US officials describe the human toll of Israel's restrictions on aid.","Not seen as fully human
But it's not just delivering aid that can be deadly. Many civilians have been killed while collecting it. In February, more than 100 Palestinians seeking food from aid trucks… [+6199 chars]",2024-10-20,https://www.aljazeera.com/features/longform/2024/10/20/starving-since-the-day-he-was-born-how-famine-stalks-gazas-children,https://www.aljazeera.com/wp-content/uploads/2024/10/Baby_Breathing-1729250304.jpg?resize=1620%2C1080&quality=80,starving since the day he was born how famine stalks gaza s children not seen as fully human but it is not just delivering aid that can be deadly many civilians have been killed while collecting it in february more than  palestinians seeking food from aid trucks  chars,"['starving', 'since', 'day', 'born', 'famine', 'stalks', 'gaza', 'children', 'seen', 'fully', 'human', 'delivering', 'aid', 'deadly', 'many', 'civilians', 'killed', 'collecting', 'february', 'palestinians', 'seeking', 'food', 'aid', 'trucks', 'chars']",starving since day born famine stalk gaza child seen fully human delivering aid deadly many civilian killed collecting february palestinian seeking food aid truck char
LIVE: Huge Israeli strike kills more than 70 in north Gaza’s Beit Lahiya,Lyndal Rowlands,Al Jazeera English,Multiple air strikes on residential area in Beit Lahiya come amid punishing weeks-long Israeli siege of north Gaza.,"blinking-dot
Live updatesLive updates, 
Multiple air strikes on residential area in Beit Lahiya carried out amid punishing weeks-long Israeli military siege of northern Gaza.",2024-10-20,https://www.aljazeera.com/news/liveblog/2024/10/20/live-dozens-killed-in-israeli-attack-on-beit-lahiya-in-north-of-gaza,https://www.aljazeera.com/wp-content/uploads/2024/10/AA-20241019-35953060-35953058-ISRAELI_ATTACK_ON_MAGHAZI_REFUGEE_CAMP_IN_DEIR_ALBALAH-1729381680.jpg?resize=1200%2C630,live huge israeli strike kills more than  in north gaza s beit lahiya blinking dot live updateslive updates multiple air strikes on residential area in beit lahiya carried out amid punishing weeks long israeli military siege of northern gaza,"['live', 'huge', 'israeli', 'strike', 'kills', 'north', 'gaza', 'beit', 'lahiya', 'blinking', 'dot', 'live', 'updateslive', 'updates', 'multiple', 'air', 'strikes', 'residential', 'area', 'beit', 'lahiya', 'carried', 'amid', 'punishing', 'weeks', 'long', 'israeli', 'military', 'siege', 'northern', 'gaza']",live huge israeli strike kill north gaza beit lahiya blinking dot live updateslive update multiple air strike residential area beit lahiya carried amid punishing week long israeli military siege northern gaza
Caught at the helm,BBC World Service,BBC News,"Katy Fallon tells the story of the refugees and other migrants ensnared in Greece’s legal crossfire. Greek authorities routinely prosecute those found near the controls of boats carrying people trying to reach Europe, but human rights monitors assert that it …",Katy Fallon tells the story of the refugees and other migrants ensnared in Greeces legal crossfire. Greek authorities routinely prosecute those found near the controls of boats carrying people trying… [+543 chars],2024-10-20,https://www.bbc.co.uk/programmes/p0jy4mch,https://ichef.bbci.co.uk/images/ic/1200x675/p0css1dx.jpg,caught at the helm katy fallon tells the story of the refugees and other migrants ensnared in greeces legal crossfire greek authorities routinely prosecute those found near the controls of boats carrying people trying  chars,"['caught', 'helm', 'katy', 'fallon', 'tells', 'story', 'refugees', 'migrants', 'ensnared', 'greeces', 'legal', 'crossfire', 'greek', 'authorities', 'routinely', 'prosecute', 'found', 'near', 'controls', 'boats', 'carrying', 'people', 'trying', 'chars']",caught helm katy fallon tell story refugee migrant ensnared greece legal crossfire greek authority routinely prosecute found near control boat carrying people trying char
Clocks to go back as autumn weather takes hold,Barra Best,BBC News,"At 02:00 BST on 27 October clocks will go back by one hour, providing an extra hour in bed for many.","The clock change is rooted in a century-old practice designed to make better use of daylight during the winter months.
By shifting an hour of sunlight from the evening to the morning, the goal is to… [+1145 chars]",2024-10-20,https://www.bbc.co.uk/news/articles/cm28gv44rz3o,https://ichef.bbci.co.uk/news/1024/branded_news/e41c/live/ec6d0a30-8afe-11ef-8dd9-115a8781b651.jpg,clocks to go back as autumn weather takes hold the clock change is rooted in a century old practice designed to make better use of daylight during the winter months by shifting an hour of sunlight from the evening to the morning the goal is to  chars,"['clocks', 'go', 'back', 'autumn', 'weather', 'takes', 'hold', 'clock', 'change', 'rooted', 'century', 'old', 'practice', 'designed', 'make', 'better', 'use', 'daylight', 'winter', 'months', 'shifting', 'hour', 'sunlight', 'evening', 'morning', 'goal', 'chars']",clock go back autumn weather take hold clock change rooted century old practice designed make better use daylight winter month shifting hour sunlight evening morning goal char
Why are we building homes when so many are standing empty?,Brian Wheeler,BBC News,"Bringing empty homes back into use can be tricky, but campaigners say a lot more could be done to help.","In an average working day, Claudia Bowring has to play the role of detective, estate agent, family mediator and, occasionally, grief counsellor.
Shes an empty homes officer for a borough council in … [+1853 chars]",2024-10-20,https://www.bbc.co.uk/news/articles/c4g518le0r5o,https://ichef.bbci.co.uk/news/1024/branded_news/bb6b/live/80655fc0-8eca-11ef-8dd3-bb530ef3f124.jpg,why are we building homes when so many are standing empty in an average working day claudia bowring has to play the role of detective estate agent family mediator and occasionally grief counsellor shes an empty homes officer for a borough council in  chars,"['building', 'homes', 'many', 'standing', 'empty', 'average', 'working', 'day', 'claudia', 'bowring', 'play', 'role', 'detective', 'estate', 'agent', 'family', 'mediator', 'occasionally', 'grief', 'counsellor', 'shes', 'empty', 'homes', 'officer', 'borough', 'council', 'chars']",building home many standing empty average working day claudia bowring play role detective estate agent family mediator occasionally grief counsellor shes empty home officer borough council char
HS2: Ministers to oversee build as costs 'spiral',Charlotte Edwards,BBC News,The transport secretary also commissions a new independent review of the high-speed rail project.,"A spokesperson for HS2 Ltd said: We welcome the Secretary of State's priorities for HS2 Ltd and are committed to working with the new Government to improve delivery.""
Adding: ""HS2 Ltd recognises tha… [+1259 chars]",2024-10-20,https://www.bbc.co.uk/news/articles/cr54gv99dz1o,https://ichef.bbci.co.uk/news/1024/branded_news/cd19/live/14d71310-8ebc-11ef-a2c3-7f007b57e467.jpg,hs ministers to oversee build as costs is piral a spokesperson for hs ltd said we welcome the secretary of state is priorities for hs ltd and are committed to working with the new government to improve delivery adding hs ltd recognises tha  chars,"['hs', 'ministers', 'oversee', 'build', 'costs', 'piral', 'spokesperson', 'hs', 'ltd', 'said', 'welcome', 'secretary', 'state', 'priorities', 'hs', 'ltd', 'committed', 'working', 'new', 'government', 'improve', 'delivery', 'adding', 'hs', 'ltd', 'recognises', 'tha', 'chars']",h minister oversee build cost piral spokesperson h ltd said welcome secretary state priority h ltd committed working new government improve delivery adding h ltd recognises tha char
Lucy Letby: We spent years covering the case – here’s why experts are still arguing about it,Jonathan Coffey And Judith Moritz,BBC News,"For more than a year, we’ve been examining the scientific evidence and speaking to the experts at the centre of the case.","The medical condition of the babies also fitted with the lab results. In both cases, the babies blood sugar levels had plummeted, which is what you would expect to see with insulin poisoning. And whi… [+2087 chars]",2024-10-20,https://www.bbc.co.uk/news/articles/cvgwx9xprwqo,https://ichef.bbci.co.uk/news/1024/branded_news/d919/live/a27d4ec0-8d61-11ef-89ae-5575c76d98e6.png,lucy letby we spent years covering the case here s why experts are still arguing about it the medical condition of the babies also fitted with the lab results in both cases the babies blood sugar levels had plummeted which is what you would expect to see with insulin poisoning and whi  chars,"['lucy', 'letby', 'spent', 'years', 'covering', 'case', 'experts', 'still', 'arguing', 'medical', 'condition', 'babies', 'also', 'fitted', 'lab', 'results', 'cases', 'babies', 'blood', 'sugar', 'levels', 'plummeted', 'would', 'expect', 'see', 'insulin', 'poisoning', 'whi', 'chars']",lucy letby spent year covering case expert still arguing medical condition baby also fitted lab result case baby blood sugar level plummeted would expect see insulin poisoning whi char
Anglo-Saxon coin pendant found at Attleborough is 'very unusual',Katy Prickett,BBC News,"The Anglo-Saxons ""made the whole thing from scratch"" rather than reuse an old coin, says an expert.","Dr Marsden, from the Norfolk Historic Environment Service, external, said this was an era when the Roman Empire, which had become officially Christian by AD380, was ""in freefall"".
""We know the Anglo… [+871 chars]",2024-10-20,https://www.bbc.co.uk/news/articles/cvgxye0lrvjo,https://ichef.bbci.co.uk/news/1024/branded_news/7ca4/live/b59925b0-8c80-11ef-8936-1185f9e7d044.jpg,anglo saxon coin pendant found at attleborough is have ry unusual dr marsden from the norfolk historic environment service external said this was an era when the roman empire which had become officially christian by ad was in freefall we know the anglo  chars,"['anglo', 'saxon', 'coin', 'pendant', 'found', 'attleborough', 'ry', 'unusual', 'dr', 'marsden', 'norfolk', 'historic', 'environment', 'service', 'external', 'said', 'era', 'roman', 'empire', 'become', 'officially', 'christian', 'ad', 'freefall', 'know', 'anglo', 'chars']",anglo saxon coin pendant found attleborough ry unusual dr marsden norfolk historic environment service external said era roman empire become officially christian ad freefall know anglo char
Stillbirth: 'Irish database means our son will not be forgotten',Eimear Flanagan,BBC News,An Irish mother whose eldest boy was stillborn hails the importance of a new public record of loss.,"In recent years much of the secrecy that once surrounded stillbirth and miscarriage has dissipated as more parents like Maria choose to speak out about baby loss. 
Those changing attitudes are also … [+1877 chars]",2024-10-20,https://www.bbc.co.uk/news/articles/c4gqlwvygdno,https://ichef.bbci.co.uk/news/1024/branded_news/9cc0/live/c5528c50-8c92-11ef-ab1d-79f5630c944f.jpg,stillbirth irish database means our son will not be forgotten in recent years much of the secrecy that once surrounded stillbirth and miscarriage has dissipated as more parents like maria choose to speak out about baby loss those changing attitudes are also  chars,"['stillbirth', 'irish', 'database', 'means', 'son', 'forgotten', 'recent', 'years', 'much', 'secrecy', 'surrounded', 'stillbirth', 'miscarriage', 'dissipated', 'parents', 'like', 'maria', 'choose', 'speak', 'baby', 'loss', 'changing', 'attitudes', 'also', 'chars']",stillbirth irish database mean son forgotten recent year much secrecy surrounded stillbirth miscarriage dissipated parent like maria choose speak baby loss changing attitude also char
